80,40,4,KFE40T2.2,2.2X2,0.28,51,,,,,,2,0.41,30~51,0.22,52~58,91.6,,50/60,KFE
80,40,5,KFE40T3.7,3.7X2,0.32,71,,,,,,2,0.59,44~71,0.32,56~60,90.3,,50/60,KFE
80,40,6,KFE40T5.5,5.5X2,0.38,84,,,,,,2,0.71,60~84,0.45,56~63,91.4,,50/60,KFE
80,40,7,KFE40T7.5,7.5X2,0.3,110,,,,,,2,0.93,80~110,0.61,60~65,92.7,,50/60,KFE
80,50,8,KFE50T2.2,2.2X2,0.45,36,,,,,,2,0.27,20~36,0.14,53~59,91.6,,50/60,KFE
80,50,9,KFE50T3.7,3.7X2,0.53,54,,,,,,2,0.44,30~54,0.22,57~60,90.3,,50/60,KFE
80,50,10,KFE50T5.5,5.5X2,0.48,71,,,,,,2,0.59,44~71,0.32,59~65,91.4,,50/60,KFE
80,50,11,KFE50T7.5,7.5X2,0.56,84,,,,,,2,0.71,56~84,0.42,57~63,92.7,,50/60,KFE
100,65,12,KFE65T3.7,3.7X2,0.76,37,,,,,,2,0.28,20~37,0.14,54~59,90.3,,50/60,KFE
100,65,13,KFE65T5.5,5.5X2,0.7,55,,,,,,2,0.45,30~55,0.22,58~64,91.4,,50/60,KFE
100,65,14,KFE65T7.5,7.5X2,0.76,66,,,,,,2,0.54,44~44,0.33,61~65,92.7,,50/60,KFE
50,32,15,KFE32T1.1,1.1 X3,0.18,53,,,,,,3,0.43,30~53,0.22,53~56,92.8,,50/60,KFE
50,32,16,KFE32T1.9,1.9X3,0.21,67,,,,,,3,0.55,44~67,0.32,51~58,91,,50/60,KFE
80,40,17,KFE40T1.5,1.5X3,0.42,35,,,,,,3,0.26,20~35,0.14,50~57,93.2,,50/60,KFE
80,40,18,KFE40T2.2,2.2X3,0.42,51,,,,,,3,0.41,30~51,0.22,52~61,89.1,,50/60,KFE
80,40,19,KFE40T3.7,3.7X3,0.48,71,,,,,,3,0.59,44~71,0.32,56~61,91.7,,50/60,KFE
80,40,20,KFE40T5.5,5.5X3,0.57,84,,,,,,3,0.71,60~84,0.45,56~64,92.5,,50/60,KFE
80,40,21,KFE40T7.5,7.5X3,0.45,110,,,,,,3,0.93,80~110,0.61,60~67,93.3,,50/60,KFE
80,50,22,KFE50T2.2,2.2X3,0.63,36,,,,,,3,0.27,20~36,0.14,53~61,89.1,,50/60,KFE
80,50,23,KFE50T3.7,3.7X3,0.75,54,,,,,,3,0.44,30~54,0.22,57~63,91.7,,50/60,KFE
80,50,24,KFE50T5.5,5.5X3,0.72,71,,,,,,3,0.59,44~71,0.32,59~67,92.5,,50/60,KFE
80,50,25,KFE50T7.5,7.5X3,0.84,84,,,,,,3,0.71,56~84,0.42,57~65,93.3,,50/60,KFE
100,65,26,KFE65T3.7,3.7X3,1.14,37,,,,,,3,0.28,20~37,0.14,54~61,91.7,,50/60,KFE
100,65,27,KFE65T5.5,5.5X3,1.05,55,,,,,,3,0.45,30~55,0.22,58~66,92.5,,50/60,KFE
100,65,28,KFE65T7.5,7.5X3,1.14,66,,,,,,3,0.54,44~66,0.33,61 ~68,93.3,,50/60,KFE
40,32,1,GEH-40X325M-2MN0.4,0.4,0.05,13,0.12,11.2,0.2,7.5,,,,,,,,0.84,50,GE-2M
40,32,2,GEI405M2ME0.75,0.75,0.05,19.8,0.12,18,0.2,14.5,,,,,,,,0.77,50,GE-2M
40,32,3,GEJ405M2ME1.5,1.5,0.05,30.5,0.12,27.5,0.2,22,,,,,,,,0.67,50,GE-2M
40,32,4,GEJ405M2ME2.2,2.2,0.05,40,0.12,37,0.2,31.5,,,,,,,,0.58,50,GE-2M
50,40,5,GEH-50X405M-2MN0.4,0.4,0.1,10.5,0.2,8.2,0.32,3.5,,,,,,,,0.86,50,GE-2M
50,40,6,GEH505M2ME0.75,0.75,0.1,15.8,0.2,14.2,0.32,10.5,,,,,,,,0.81,50,GE-2M
50,40,7,GEI505M2ME1.5,1.5,0.1,22.5,0.2,20.8,0.32,17,,,,,,,,0.74,50,GE-2M
50,40,8,GEJ505M2ME2.2,2.2,0.1,31,0.2,29,0.32,24.5,,,,,,,,0.67,50,GE-2M
50,40,9,GEJ505M2ME3.7,3.7,0.1,35.5,0.2,33.5,0.32,29.8,,,,,,,,0.63,50,GE-2M
50,40,10,GEK505M2ME3.7,3.7,0.1,44.5,0.2,41.5,0.32,35.5,,,,,,,,0.52,50,GE-2M
50,40,11,GEK505M2ME5.5,5.5,0.1,56.5,0.2,52.5,0.32,47,,,,,,,,0.39,50,GE-2M
65,50,12,GEH655M2ME0.75,0.75,0.2,10,0.4,8.2,0.63,4.2,,,,,,,,0.87,50,GE-2M
65,50,13,GEH655M2ME1.5,1.5,0.2,15.8,0.4,14,0.63,10.5,,,,,,,,0.81,50,GE-2M
65,50,14,GEI655M2ME2.2,2.2,0.2,22.8,0.4,20.2,0.63,15.2,,,,,,,,0.74,50,GE-2M
65,50,15,GEJ655M2ME3.7,3.7,0.2,32.5,0.4,28.5,0.63,21,,,,,,,,0.65,50,GE-2M
65,50,16,GEK655M2ME5.5,5.5,0.2,45,0.4,41,0.63,34,,,,,,,,0.52,50,GE-2M
65,50,17,GEK655M2ME7.5,7.5,0.2,54.5,0.4,50.5,0.63,43.5,,,,,,,,0.42,50,GE-2M
65,50,18,GEL655M2ME11,11,0.2,75,0.4,69,0.63,59.4,,,,,,,,0.22,50,GE-2M
65,50,19,GEL655M2ME15,15,0.2,90,0.4,84,0.63,74,,,,,,,,0.059,50,GE-2M
80,65,20,GEH805M2ME2.2,2.2,0.4,15.2,0.8,12.2,1.25,6.5,,,,,,,,0.81,50,GE-2M
80,65,21,GEI805M2ME3.7,3.7,0.4,22.5,0.8,19,1.25,12,,,,,,,,0.74,50,GE-2M
80,65,22,GEJ805M2ME5.5,5.5,0.4,30.5,0.8,26.5,1.25,20,,,,,,,,0.66,50,GE-2M
80,65,23,GEJ805M2ME7.5,7.5,0.4,38.5,0.8,34,1.25,27.5,,,,,,,,0.58,50,GE-2M
80,65,24,GEK805M2ME11,11,0.4,52,0.8,47,1.25,38.5,,,,,,,,0.45,50,GE-2M
80,65,25,GEK805M2ME15,15,0.4,63.5,0.8,58.5,1.25,49.5,,,,,,,,0.33,50,GE-2M
80,65,26,GEL805M2ME18,18.5,0.4,74,0.8,67.5,1.25,57,,,,,,,,0.32,50,GE-2M
80,65,27,GEL805M2ME22,22,0.4,85,0.8,78,1.25,67,,,,,,,,0.13,50,GE-2M
100,80,28,GEI1005M2ME7.5,7.5,0.8,26.5,1.6,20.5,2.50,10.5,,,,,,,,0.69,50,GE-2M
100,80,29,GEJ1005M2ME15,15,0.8,34,1.6,28.5,2.50,19.0,,,,,,,,0.62,50,GE-2M
100,80,30,GEJ1005M2ME18,18,0.8,42,1.6,36,2.50,27.0,,,,,,,,0.54,50,GE-2M
100,80,31,GEK1005M2ME18,18,0.8,52.5,1.6,45.5,2.50,33.0,,,,,,,,0.44,50,GE-2M
100,80,32,GEK1005M2ME22,22,0.8,59,1.6,51.5,2.50,38.5,,,,,,,,0.37,50,GE-2M
